,user_id,username,following,followers
807,807,OUPShahaHa,55,1
808,808,manon_bussieres,322,60
809,809,DjiboutianP,565,824
810,810,Franckakue,289,362
811,811,NoelsonLopes,180,172
812,812,YamiFTN,113,4
813,813,DamienLadan,442,462
814,814,maria_andy2,3116,6692
815,815,F_Jarlier,1715,752
816,816,leoncbhf,799,740
817,817,rayan_ndj,1935,11370
818,818,bvfnk,757,1513
819,819,fiifou95,44,2
820,820,emynobullshhh,491,601
821,821,_mingo444,340,494
822,822,kyvnc2,298,319
823,823,MailletIsabell4,22,2
824,824,el_hlj,276,20
825,825,zitzitoune____,197,214
826,826,JackyLEFEVRE2,104,105
827,827,citoyenne0monde,629,302
828,828,WKyoraku,441,69
829,829,Fabfoot1,932,239
830,830,Franckakue,289,362
831,831,cemodf1,2363,2428
832,832,Alice_loulo,1301,632
833,833,alexis_renon,315,71
834,834,joelMk20,107,143
835,835,b_hornigold,335,361
836,836,sofiakbrr,2323,2667
837,837,_dgafan,127,213
838,838,TOUFOUX,773,681
839,839,inesslre,318,415
840,840,TF1,940,5749593
841,841,maxhraubnh,325,112
842,842,CFTC37metal,208,663
843,843,CBgno,1259,1295
844,844,D4yfe,47,13
845,845,1Mugi5_60,244,229
846,846,Joka_XV,370,421
847,847,TouFouX_News,447,673
848,848,airdemsu,286,96
849,849,ToursInsoumis,1684,956
850,850,RothSandrine5,391,117
851,851,tounsicn,235,133
852,852,R_makunda,1289,1278
853,853,ThaSylver,700,1344
854,854,phoramyun,83,117
855,855,batmannswife,238,205
856,856,yoyonah05,258,30
857,857,gryn_arthur,133,78
858,858,SorybaSytm,809,1139
859,859,France33220,598,982
860,860,YamiFTN,113,4
861,861,omvr93,4422,5240
862,862,Ak_Noe25,1905,4329
863,863,meejinnie,237,227
864,864,you_93100,556,786
865,865,Livrenoirmedia,3012,67673
866,866,Franckakue,289,362
867,867,pizza70_0,376,75
868,868,flooklr,219,617
869,869,LaaureneG,445,516
870,870,Romaaric,353,3855
871,871,BERNARDchr22,93,27
872,872,Diamiila,30,21
873,873,Loriklb91,251,4
874,874,Monaby_,637,1466
875,875,ClaudeLejeune5,448,114
876,876,OnmapelBax,1020,2849
877,877,CautiousGuy_EU,708,46
878,878,Richarddejean1,52,147
879,879,Enzo__m91,116,104
880,880,OUPShahaHa,55,1
